turf_name,latitude,longitude,service_address,pk_site_id,service_area_hectare,neighbourhood_id,turf_id,is_active,created_at,modified_at,duration_for_580d,duration_for_72gm,580d,72gm,service_site_id,service_level_id
EARL SAMIS PARK,53.5572473,-113.4252652,109 AVE-65 ST,181,1.35,6061,74833,TRUE,2017-04-25 20:09:42.497574+00,2017-04-25 20:09:42.5+00,0:33:00,0:50:00,1.1,0.25,3,900
ROAD ISLAND,53.55581701,-113.4269073,108 AVE-65 ST,182,0.058,6061,74834,TRUE,2017-04-25 20:09:42.567755+00,2017-04-25 20:09:42.57+00,0:00:00,0:11:36,0,0.058,9,900
RAVINE BUFFER,53.46337868,-113.6028214,Nxt to #361 Hedley Way to #329 Hedley Way,183,0.163,5230,75743,TRUE,2017-04-25 20:10:55.136701+00,2017-04-25 20:10:55.14+00,0:00:00,0:32:36,0,0.163,,900
WALKWAY (3 Branches),53.46220918,-113.5656414,108 Ower Place-230 Ockenden Place-Power Line,188,0.039,5300,75744,TRUE,2017-04-25 20:10:55.208136+00,2017-04-25 20:10:55.21+00,0:00:00,0:07:48,0,0.039,,900
UTILITY RIGHT OF WAY,53.46839614,-113.5912643,FALCONER Road- # 1401 FALCONER ROAD,194,0.67,5190,75745,TRUE,2017-04-25 20:10:55.279446+00,2017-04-25 20:10:55.28+00,0:11:53,0:54:48,0.396,0.274,,900
WALKWAY,53.46538185,-113.5858819,#219 Ferguson Place to #312 FERRIS WAY,195,0.025,5190,75746,TRUE,2017-04-25 20:10:55.350014+00,2017-04-25 20:10:55.35+00,0:00:00,0:05:00,0,0.025,,900
WALKWAY,53.46430204,-113.5902915,1117 FALCONER DR TO 221 FALCONER LINK,196,0.029,5190,75747,TRUE,2017-04-25 20:10:55.421028+00,2017-04-25 20:10:55.42+00,0:00:00,0:05:48,0,0.029,,900
WALKWAY,53.42434954,-113.5336484,Btw. #1165 & #1166 Rutherford Close,198,0.013,5454,75748,TRUE,2017-04-25 20:10:55.492299+00,2017-04-25 20:10:55.49+00,0:00:00,0:02:36,0,0.013,,900
ROAD BUFFER ELLERSLIE RD,53.4249867,-113.4648967,N/S & C ELLERSLIE RD: 91 ST - EDWARDS DRI,207,0.69,6211,74835,TRUE,2017-04-25 20:09:42.707174+00,2017-04-25 20:09:42.71+00,0:09:34,1:14:12,0.319,0.371,4,900
PUL/Dry Pond,53.4595878,-113.5675726,#1003 Leger Boulevard & Rabbit Hill Road,208,1.032,5630,75749,TRUE,2017-04-25 20:10:55.632478+00,2017-04-25 20:10:55.63+00,0:20:08,1:12:12,0.671,0.361,,900
ROAD BUFFER - West Side,53.4595287,-113.5669353,Rabbit Hill Road: TransAlta - Sobeys,209,0.017,5630,75750,TRUE,2017-04-25 20:10:55.704192+00,2017-04-25 20:10:55.7+00,0:00:00,0:03:24,0,0.017,,900
ROAD ISLAND,53.46814891,-113.5772131,#532 BUCHANAN ROAD,215,0.019,5100,75751,TRUE,2017-04-25 20:10:55.774432+00,2017-04-25 20:10:55.77+00,0:00:00,0:03:48,0,0.019,,900
ROAD ISLAND (P.P.),53.47495511,-113.422836,55 ST - 39 AVE,217,0.109,6280,74836,TRUE,2017-04-25 20:09:42.778952+00,2017-04-25 20:09:42.78+00,0:00:00,0:21:48,\N,0.109,14,900
ROAD ISLAND,53.47853544,-113.424299,257 GREENOCH CRESENT,218,0.012,6280,74837,TRUE,2017-04-25 20:09:42.849201+00,2017-04-25 20:09:42.85+00,0:00:00,0:02:24,\N,0.012,15,900
WALKWAY,53.42415026,-113.5066931,#140 Ball Cove - #373 Byrne Court,222,0.028,5453,75752,TRUE,2017-04-25 20:10:55.845813+00,2017-04-25 20:10:55.85+00,0:00:00,0:05:36,0,0.028,,900
WALKWAY,53.46212668,-113.5552896,#175 OSLAND DRIVE,224,0.018,5300,75753,TRUE,2017-04-25 20:10:55.916543+00,2017-04-25 20:10:55.92+00,0:00:00,0:03:36,0,0.018,,900
WALKWAY,53.46236321,-113.5575748,#332 OSLAND PLACE,225,0.022,5300,75754,TRUE,2017-04-25 20:10:55.987358+00,2017-04-25 20:10:55.99+00,0:00:00,0:04:24,0,0.022,,900
WALKWAY,53.44934292,-113.5344893,#621 TWIN BROOKS BEND,230,0.027,5511,75755,TRUE,2017-04-25 20:10:56.057992+00,2017-04-25 20:10:56.06+00,0:00:00,0:05:24,0,0.027,,900
ROAD ISLAND,53.44562432,-113.397116,36 ST-17-17B AVE,231,0.008,6150,74838,TRUE,2017-04-25 20:09:42.988644+00,2017-04-25 20:09:42.99+00,0:00:00,0:01:36,0,0.008,2,900
ROAD ISLAND (P.P.),53.47406098,-113.4179049,51 ST -39 A AVE,232,0.071,6280,74839,TRUE,2017-04-25 20:09:43.059702+00,2017-04-25 20:09:43.06+00,0:00:00,0:14:12,\N,0.071,2,900
ROAD ISLAND,53.45106651,-113.3981109,36 ST-20 AVE,236,0.01,6150,74840,TRUE,2017-04-25 20:09:43.130671+00,2017-04-25 20:09:43.13+00,0:00:00,0:02:00,0,0.01,3,900
WALKWAY,53.44011451,-113.4001857,36 ST - 12A AVE,237,0.012,6140,74841,TRUE,2017-04-25 20:09:43.202708+00,2017-04-25 20:09:43.2+00,0:00:00,0:02:24,0,0.012,9,900
WALKWAY,53.46240108,-113.5560421,#227 OSLAND CLOSE,254,0.033,5300,75756,TRUE,2017-04-25 20:10:56.128876+00,2017-04-25 20:10:56.13+00,0:00:00,0:06:36,0,0.033,,900
WALKWAY,53.46321738,-113.3948895,35 ST-33 AVE,255,0.007,6030,74842,TRUE,2017-04-25 20:09:43.342857+00,2017-04-25 20:09:43.34+00,0:00:00,0:01:24,0,0.007,10,900
LRT-R.O.W.,53.45953514,-113.3959923,NORTH OF 28A AVE BTWN 34-37 ST,256,0.316,6030,74843,TRUE,2017-04-25 20:09:43.415224+00,2017-04-25 20:09:43.42+00,0:00:00,1:03:12,0,0.316,12,900
ENTRANCE WHITEMUD HILLS (MEDIAN ONLY),53.46285063,-113.5696253,115 Cormack Crescent,257,0.011,5130,75757,TRUE,2017-04-25 20:10:56.271221+00,2017-04-25 20:10:56.27+00,0:00:00,0:02:12,0,0.011,,900
ROAD ISLAND,53.46308305,-113.5650095,#235 OCKENDEN PLACE,260,0.006,5300,75758,TRUE,2017-04-25 20:10:56.343058+00,2017-04-25 20:10:56.34+00,0:00:00,0:01:12,0,0.006,,900
WALKWAY,53.47890847,-113.4505464,EAST OF 76 ST BTWN 41 AVE & PARK AREA,265,0.019,6480,74844,TRUE,2017-04-25 20:09:43.555348+00,2017-04-25 20:09:43.56+00,0:00:00,0:03:48,\N,0.019,10,900
WALKWAY/PIPELINE,53.4813995,-113.4445099,BTWN-WHITEMUD DRIVE-PIPELINE,266,0.358,6480,74845,TRUE,2017-04-25 20:09:43.628595+00,2017-04-25 20:09:43.63+00,0:00:00,1:11:36,\N,0.358,13,900
UTILITY R.O.W.,53.47586961,-113.4445511,NEXT TO 6762-39 AVE,267,0.031,6480,74846,TRUE,2017-04-25 20:09:43.698606+00,2017-04-25 20:09:43.7+00,0:00:00,0:06:12,\N,0.031,15,900
Kenilworth Jr High/Plgd/CL/Waverly Schools,53.52290707,-113.4354382,89 Ave & 71 St,270,5.306,6350,74847,TRUE,2017-04-25 20:09:43.768584+00,2017-04-25 20:09:43.77+00,2:15:18,2:39:12,4.51,0.796,3,900
WALKWAY,53.47925609,-113.4022577,403 KIRKPATRICK CRESENT,276,0.017,6370,74848,TRUE,2017-04-25 20:09:43.84003+00,2017-04-25 20:09:43.84+00,0:00:00,0:03:24,\N,0.017,5,900
WALKWAY,53.4801263,-113.3999983,43 AVE & 38 ST - KIRKPATRICK CRESENT,278,0.028,6370,74849,TRUE,2017-04-25 20:09:43.910393+00,2017-04-25 20:09:43.91+00,0:00:00,0:05:36,\N,0.028,7,900
ROADWAY PARK,53.52016614,-113.4404997,84 AVE-73 ST,279,0.13,6350,74850,TRUE,2017-04-25 20:09:43.981118+00,2017-04-25 20:09:43.98+00,0:00:00,0:26:00,\N,0.13,7,900
ROAD ISLAND,53.52033983,-113.4427154,75 ST-84 AVE,280,0.015,6350,74851,TRUE,2017-04-25 20:09:44.05139+00,2017-04-25 20:09:44.05+00,0:00:00,0:03:00,\N,0.015,6,900
ROAD ISLAND,53.45275672,-113.4456286,21 AVE & 73 ST,291,0.035,6200,74852,TRUE,2017-04-25 20:09:44.192828+00,2017-04-25 20:09:44.19+00,0:00:00,0:07:00,\N,0.035,5,900
WALKWAY,53.47807414,-113.4236698,40 - 43 AVE & GREENOCH CRESENT,307,0.487,6280,74853,TRUE,2017-04-25 20:09:44.269232+00,2017-04-25 20:09:44.27+00,0:00:00,1:37:24,\N,0.487,8,900
WALKWAY,53.47925098,-113.4295846,40 - 43 AVE & GRANLEA CRESENT (P.P.),308,0.468,6280,74854,TRUE,2017-04-25 20:09:44.341151+00,2017-04-25 20:09:44.34+00,0:00:00,1:33:36,\N,0.468,9,900
FOREST HEIGHTS ELEM SCHOOL/PLGD,53.54472687,-113.4532601,82 ST-103 AVE,309,1.97,6230,74855,TRUE,2017-04-25 20:09:44.481345+00,2017-04-25 20:09:44.48+00,0:50:24,0:58:00,1.68,0.29,3,900
ROAD ISLAND,53.47935367,-113.4311516,153 GRANLEA CRESENT,310,0.022,6280,74856,TRUE,2017-04-25 20:09:44.552575+00,2017-04-25 20:09:44.55+00,0:00:00,0:04:24,\N,0.022,18,900
ROAD ISLAND,53.48748589,-113.5659146,51 AVE-142 ST,312,0.063,5090,75759,TRUE,2017-04-25 20:10:56.483627+00,2017-04-25 20:10:56.48+00,0:01:21,0:03:36,0.045,0.018,,930
ROAD ISLAND,53.44083244,-113.5338155,#116-TWIN BROOKS COVE,315,0.078,5511,75760,TRUE,2017-04-25 20:10:56.554408+00,2017-04-25 20:10:56.55+00,0:00:00,0:15:36,0,0.078,,900
WALKWAY,53.47059732,-113.5928699,Btw. #820 & #824 FORBES CLOSE,316,0.018,5190,75761,TRUE,2017-04-25 20:10:56.624882+00,2017-04-25 20:10:56.62+00,0:00:00,0:03:36,0,0.018,,900
VACANT LOT (TOP OF BANK),53.48307766,-113.5859012,43 AVE-WHITEMUD ROAD,336,0.551,5340,75762,TRUE,2017-04-25 20:10:56.764323+00,2017-04-25 20:10:56.76+00,0:06:56,1:04:00,0.231,0.32,,900
ROAD ISLAND,53.43893039,-113.5263314,11332-09 AVE,355,0.04,5511,75763,TRUE,2017-04-25 20:10:56.83665+00,2017-04-25 20:10:56.84+00,0:00:00,0:08:00,0,0.04,,900
MALCOLM MacCRIMMON PARK,53.46059016,-113.4965017,29A AVE-104 ST,356,0.764,5180,75764,TRUE,2017-04-25 20:10:56.97785+00,2017-04-25 20:10:56.98+00,0:19:35,0:22:12,0.653,0.111,,900
ROAD ISLAND,53.44016414,-113.53188,11513-10 AVE,361,0.009,5511,75765,TRUE,2017-04-25 20:10:57.04834+00,2017-04-25 20:10:57.05+00,0:00:00,0:01:48,0,0.009,,900
WALKWAY 3 BRANCHES,53.47134206,-113.5846554,#79 REHWINKLE ROAD,368,0.061,5350,75766,TRUE,2017-04-25 20:10:57.119068+00,2017-04-25 20:10:57.12+00,0:00:00,0:12:12,0,0.061,,900
WALKWAY,53.43931923,-113.5302954,9A AVE/115ST,380,0.019,5511,75767,TRUE,2017-04-25 20:10:57.189298+00,2017-04-25 20:10:57.19+00,0:00:00,0:03:48,0,0.019,,900
WALKWAY,53.45182828,-113.4381028,68 ST - 22 AVE,381,0.035,6200,74857,TRUE,2017-04-25 20:09:44.623653+00,2017-04-25 20:09:44.62+00,0:00:00,0:07:00,\N,0.035,18,900
BONNIE DOON PLGD/C.L.,53.52806581,-113.4707322,93 ST-92 AVE,382,1.467,6040,74858,TRUE,2017-04-25 20:09:44.762809+00,2017-04-25 20:09:44.76+00,0:06:36,4:09:24,0.22,1.247,4,900
CHARLES B HILL PARK,53.46695088,-113.4212724,HILLVIEW CRESENT (52 ST & 34 B AVE),383,0.108,6300,74859,TRUE,2017-04-25 20:09:44.833576+00,2017-04-25 20:09:44.83+00,0:00:00,0:21:36,\N,0.108,3,900
ROAD ISLAND,53.53191903,-113.4726713,95 AVE-94-95 ST,385,0.166,6040,74860,TRUE,2017-04-25 20:09:44.903836+00,2017-04-25 20:09:44.9+00,0:00:45,0:28:12,0.025,0.141,6,900
ROAD ISLAND,53.52545463,-113.4619454,90 AVE-88 ST,386,0.2,6040,74861,TRUE,2017-04-25 20:09:44.97616+00,2017-04-25 20:09:44.98+00,0:00:54,0:34:00,0.03,0.17,9,900
WALKWAY,53.45773177,-113.5699697,521 Lougheed Court - 1463 Loewen Court,388,0.027,5630,75768,TRUE,2017-04-25 20:10:57.259405+00,2017-04-25 20:10:57.26+00,0:00:00,0:05:24,0,0.027,,900
WALKWAY,53.42228606,-113.5132862,Between #1128 & #1134 Barnes Way,391,0.014,5453,75769,TRUE,2017-04-25 20:10:57.3299+00,2017-04-25 20:10:57.33+00,0:00:00,0:02:48,0,0.014,,900
ROADWAY,53.46369927,-113.4501914,EAST SIDE MILLWOODS RD & 34-28 AVE,402,0.152,6340,74862,TRUE,2017-04-25 20:09:45.132845+00,2017-04-25 20:09:45.13+00,0:00:00,0:30:24,\N,0.152,7,900
ROAD ISLAND,53.47911282,-113.4438854,MILLBOURNE ROAD E-41A AVE,403,0.044,6480,74863,TRUE,2017-04-25 20:09:45.206426+00,2017-04-25 20:09:45.21+00,0:00:00,0:08:48,\N,0.044,2,900
ROADWAY BLVDS/ISLAND-ENTRANCE,53.47431735,-113.4071166,44 ST-KULAWY GATE (39 AVE),404,0.029,6370,74864,TRUE,2017-04-25 20:09:45.278429+00,2017-04-25 20:09:45.28+00,0:00:00,0:05:48,\N,0.029,19,900
WALKWAY,53.47069387,-113.3979464,1244 KAASA ROAD EAST,405,0.019,6370,74865,TRUE,2017-04-25 20:09:45.351021+00,2017-04-25 20:09:45.35+00,0:00:00,0:03:48,\N,0.019,21,900
WALKWAY,53.45386309,-113.4620099,CONNECTS 89 ST-BACK LANE-BTWN-24-25A A,406,0.058,6470,74866,TRUE,2017-04-25 20:09:45.496635+00,2017-04-25 20:09:45.5+00,0:00:00,0:11:36,\N,0.058,11,900
WALKWAY,53.45671841,-113.4595737,83 ST-BACK LANE-BTWN-26-27 AVE,407,0.019,6470,74867,TRUE,2017-04-25 20:09:45.568469+00,2017-04-25 20:09:45.57+00,0:00:00,0:03:48,\N,0.019,13,900
WALKWAY,53.45687343,-113.4632328,89 ST - LAKEWOOD RD. WEST & 26-27 AVE,408,0.068,6470,74868,TRUE,2017-04-25 20:09:45.63872+00,2017-04-25 20:09:45.64+00,0:00:00,0:13:36,\N,0.068,14,900
ROADWAY BLVD,53.47811545,-113.3875818,30 ST - W/SIDE 42 AVE TO 40 AVE,410,0.01,6390,74869,TRUE,2017-04-25 20:09:45.782943+00,2017-04-25 20:09:45.78+00,0:00:00,0:02:00,\N,0.01,32,900
ROAD ISLAND (ALLEY),53.49022116,-113.5499831,52A AVE-124A ST,412,0.071,5260,75770,TRUE,2017-04-25 20:10:57.471804+00,2017-04-25 20:10:57.47+00,0:00:00,0:14:12,0,0.071,,900
NEIGHBORHOOD PARK,53.48047051,-113.5307222,43 AVE-115A ST,414,0.055,5430,75771,TRUE,2017-04-25 20:10:57.542391+00,2017-04-25 20:10:57.54+00,0:00:00,0:11:00,0,0.055,,900
