SORT,Lead (NEIGHBOURHOOD route),service_site_ID,Neighborhood,Adddress,Service_level,"X""s",PINSITE_ID,PKSITE_NO,service_location_name,DESCRIPTION,SITE#,lat,long,service_area,580D,72GM,580D Rate,72GM Rate,Service-Duration for 580D,Service-Duration for 72GM,Old District,Weekend/School Route,2017 WIP Area,SLIM_AREA,NOTES,,,,,,,,
11,STRATHCONA INDUSTRIAL PARK,5,STRATHCONA INDUSTRIAL PARK,N/S 34 AVE: 103 ST - 91 ST,B1,11,128,128,ROADWAY-34 AVE,N/S 34 AVE: 103 ST - 91 ST,5,53.466041100,-113.472832900,0.5610,0.140,0.421,2,0.3,0:04:12,1:24:12,SE,Weekend - Roadway,,,,,,,,,,,
12,KENILWORTH,9,KENILWORTH,NORTH OF 82 AVE-50-64 ST,B1,11,132,132,ROADWAY (BACK ALLEY),NORTH OF 82 AVE - 50 - 64 ST,9,53.518752840,-113.424261600,0.9280,0.138,0.790,2,0.3,0:04:08,2:38:00,SE,,,,,,,,,,,,
13,KING EDWARD PARK,7,KING EDWARD PARK,75 ST-BTWN-76-80 AVE,B1,11,147,147,ROAD MEDIAN,75 ST - BTWN - 76 - 80 AVE,7,53.514877080,-113.442906900,0.0560,,0.056,2,0.3,0:00:00,0:11:12,SE,,,,,,,,,,,,
14,CRAWFORD PLAINS,2,CRAWFORD PLAINS,12A AVE - BTWN 45 & 46 ST,B1,11,164,164,ROAD ISLAND,12A AVE - BTWN 45 & 46 ST,2,53.441811870,-113.409661300,0.0280,0.000,0.028,2,0.3,0:00:00,0:05:36,SE,,,,,,,,,,,,
15,CRAWFORD PLAINS,3,CRAWFORD PLAINS,36 ST - 11 AVE,B1,11,165,165,ROAD ISLAND (P.P.),36 ST - 11 AVE,3,53.440149820,-113.398510900,0.0070,0.000,0.007,2,0.3,0:00:00,0:01:24,SE,,,,,,,,,,,,
16,HILLVIEW,13,HILLVIEW,HILLVIEW CRESENT (53 ST &34 A AVE),B1,11,166,166,ROAD ISLAND,HILLVIEW CRESENT (53 ST &34 A AVE),13,53.466049280,-113.423590000,0.0130,,0.013,2,0.3,0:00:00,0:02:36,SE,,,,,,,,,,,,
17,WILD ROSE,32,WILD ROSE,Between 1921 & 2103 - 37 Ave,B1,11,169,169,Cul de Sac,Between 1921 & 2103 - 37 AVE,32,53.471585000,-113.373262500,0.0050,,0.005,2,0.3,0:00:00,0:01:00,SE,,,,,,,,,,,,
18,WILD ROSE,33,WILD ROSE,Between 1921 & 2103 - 36 Ave,B1,11,170,170,Cul de Sac,Between 1921 & 2103 - 36 AVE,33,53.470722510,-113.373223500,0.0050,,0.005,2,0.3,0:00:00,0:01:00,SE,,,,,,,,,,,,
19,CAPILANO,3,CAPILANO,109 AVE-65 ST,B1,11,181,181,EARL SAMIS PARK,109 AVE - 65 ST,3,53.557247300,-113.425265200,1.3500,1.100,0.250,2,0.3,0:33:00,0:50:00,SE,,,,,,,,,,,,
20,CAPILANO,9,CAPILANO,108 AVE-65 ST,B1,11,182,182,ROAD ISLAND,108 AVE - 65 ST,9,53.555817010,-113.426907300,0.0580,0.000,0.058,2,0.3,0:00:00,0:11:36,SE,,,,,,,,,,,,
21,ELLERSLIE,4,ELLERSLIE,N/S & C ELLERSLIE RD: 91 ST - EDWARDS DRI,B1,11,207,207,ROAD BUFFER ELLERSLIE RD,N/S & C ELLERSLIE RD: 91 ST - EDWARDS DRIVE,4,53.424986700,-113.464896700,0.6900,0.319,0.371,2,0.3,0:09:34,1:14:12,SE,Weekend - Roadway,,,,,,,,,,,
22,GREENVIEW,14,GREENVIEW,55 ST - 39 AVE,B1,11,217,217,ROAD ISLAND (P.P.),55 ST - 39 AVE,14,53.474955110,-113.422836000,0.1090,,0.109,2,0.3,0:00:00,0:21:48,SE,,,,,,,,,,,,
23,GREENVIEW,15,GREENVIEW,257 GREENOCH CRESENT,B1,11,218,218,ROAD ISLAND,257 GREENOCH CRESENT,15,53.478535440,-113.424299000,0.0120,,0.012,2,0.3,0:00:00,0:02:24,SE,,,,,,,,,,,,
24,DALY GROVE,2,DALY GROVE,36 ST-17-17B AVE,B1,11,231,231,ROAD ISLAND,36 ST - 17 - 17B AVE,2,53.445624320,-113.397116000,0.0080,0.000,0.008,2,0.3,0:00:00,0:01:36,SE,,,,,,,,,,,,
25,GREENVIEW,2,GREENVIEW,51 ST -39 A AVE,B1,11,232,232,ROAD ISLAND (P.P.),51 ST - 39 A AVE,2,53.474060980,-113.417904900,0.0710,,0.071,2,0.3,0:00:00,0:14:12,SE,,,,,,,,,,,,
26,DALY GROVE,3,DALY GROVE,36 ST-20 AVE,B1,11,236,236,ROAD ISLAND,36 ST - 20 AVE,3,53.451066510,-113.398110900,0.0100,0.000,0.010,2,0.3,0:00:00,0:02:00,SE,,,,,,,,,,,,
27,CRAWFORD PLAINS,9,CRAWFORD PLAINS,36 ST - 12A AVE,B1,11,237,237,WALKWAY,36 ST - 12A AVE,9,53.440114510,-113.400185700,0.0120,0.000,0.012,2,0.3,0:00:00,0:02:24,SE,,,,,,,,,,,,
28,BISSET,10,BISSET,35 ST-33 AVE,B1,11,255,255,WALKWAY,35 ST - 33 AVE,10,53.463217380,-113.394889500,0.0070,0.000,0.007,2,0.3,0:00:00,0:01:24,SE,,,,,,,,,,,,
29,BISSET,12,BISSET,NORTH OF 28A AVE BTWN 34-37 ST,B1,11,256,256,LRT-R.O.W.,NORTH OF 28A AVE BTWN 34 - 37 ST,12,53.459535140,-113.395992300,0.3160,0.000,0.316,2,0.3,0:00:00,1:03:12,SE,,,,,,,,,,,,
30,MICHAELS PARK,10,MICHAELS PARK,EAST OF 76 ST BTWN 41 AVE & PARK AREA,B1,11,265,265,WALKWAY,EAST OF 76 ST BTWN 41 AVE & PARK AREA,10,53.478908470,-113.450546400,0.0190,,0.019,2,0.3,0:00:00,0:03:48,SE,,,,,,,,,,,,
31,MICHAELS PARK,13,MICHAELS PARK,BTWN-WHITEMUD DRIVE-PIPELINE,B1,11,266,266,WALKWAY/PIPELINE,BTWN - WHITEMUD DRIVE - PIPELINE,13,53.481399500,-113.444509900,0.3580,,0.358,2,0.3,0:00:00,1:11:36,SE,,,,,,,,,,,,
32,MICHAELS PARK,15,MICHAELS PARK,NEXT TO 6762-39 AVE,B1,11,267,267,UTILITY R.O.W.,NEXT TO 6762 - 39 AVE,15,53.475869610,-113.444551100,0.0310,,0.031,2,0.3,0:00:00,0:06:12,SE,,,,,,,,,,,,
33,KENILWORTH,3,KENILWORTH,89 Ave & 71 St,B1,11,270,270,Kenilworth Jr High/Plgd/CL/Waverly Schools,89 AVE & 71 St,3,53.522907070,-113.435438200,5.3060,4.510,0.796,2,0.3,2:15:18,2:39:12,SE,,,,,,,,,,,,
34,KINISKI GARDENS,5,KINISKI GARDENS,403 KIRKPATRICK CRESENT,B1,11,276,276,WALKWAY,403 KIRKPATRICK CRESENT,5,53.479256090,-113.402257700,0.0170,,0.017,2,0.3,0:00:00,0:03:24,SE,,,,,,,,,,,,
35,KINISKI GARDENS,7,KINISKI GARDENS,43 AVE & 38 ST - KIRKPATRICK CRESENT,B1,11,278,278,WALKWAY,43 AVE & 38 ST - KIRKPATRICK CRESENT,7,53.480126300,-113.399998300,0.0280,,0.028,2,0.3,0:00:00,0:05:36,SE,,,,,,,,,,,,
36,KENILWORTH,7,KENILWORTH,84 AVE-73 ST,B1,11,279,279,ROADWAY PARK,84 AVE - 73 ST,7,53.520166140,-113.440499700,0.1300,,0.130,2,0.3,0:00:00,0:26:00,SE,,,,,,,,,,,,
37,KENILWORTH,6,KENILWORTH,75 ST-84 AVE,B1,11,280,280,ROAD ISLAND,75 ST - 84 AVE,6,53.520339830,-113.442715400,0.0150,,0.015,2,0.3,0:00:00,0:03:00,SE,,,,,,,,,,,,
38,EKOTA,5,EKOTA,21 AVE & 73 ST,B1,11,291,291,ROAD ISLAND,21 AVE & 73 ST,5,53.452756720,-113.445628600,0.0350,,0.035,2,0.3,0:00:00,0:07:00,SE,,,,,,,,,,,,
39,GREENVIEW,8,GREENVIEW,40 - 43 AVE & GREENOCH CRESENT,B1,11,307,307,WALKWAY,40 - 43 AVE & GREENOCH CRESENT,8,53.478074140,-113.423669800,0.4870,,0.487,2,0.3,0:00:00,1:37:24,SE,,,,,,,,,,,,
40,GREENVIEW,9,GREENVIEW,40 - 43 AVE & GRANLEA CRESENT (P.P.),B1,11,308,308,WALKWAY,40 - 43 AVE & GRANLEA CRESENT (P.P.),9,53.479250980,-113.429584600,0.4680,,0.468,2,0.3,0:00:00,1:33:36,SE,,,,,,,,,,,,
41,FOREST HEIGHTS,3,FOREST HEIGHTS,82 ST-103 AVE,B1,11,309,309,FOREST HEIGHTS ELEM SCHOOL/PLGD,82 ST - 103 AVE,3,53.544726870,-113.453260100,1.9700,1.680,0.290,2,0.3,0:50:24,0:58:00,SE,,,,,,,,,,,,
42,GREENVIEW,18,GREENVIEW,153 GRANLEA CRESENT,B1,11,310,310,ROAD ISLAND,153 GRANLEA CRESENT,18,53.479353670,-113.431151600,0.0220,,0.022,2,0.3,0:00:00,0:04:24,SE,,,,,,,,,,,,
43,EKOTA,18,EKOTA,68 ST - 22 AVE,B1,11,381,381,WALKWAY,68 ST - 22 AVE,18,53.451828280,-113.438102800,0.0350,,0.035,2,0.3,0:00:00,0:07:00,SE,,,,,,,,,,,,
44,BONNIE DOON,4,BONNIE DOON,93 ST-92 AVE,B1,11,382,382,BONNIE DOON PLGD/C.L.,93 ST - 92 AVE,4,53.528065810,-113.470732200,1.4670,0.220,1.247,2,0.3,0:06:36,4:09:24,SE,,,,,,,,,,,,
45,HILLVIEW,3,HILLVIEW,HILLVIEW CRESENT (52 ST & 34 B AVE),B1,11,383,383,CHARLES B HILL PARK,HILLVIEW CRESENT (52 ST & 34 B AVE),3,53.466950880,-113.421272400,0.1080,,0.108,2,0.3,0:00:00,0:21:36,SE,,,,,,,,,,,,
46,BONNIE DOON,6,BONNIE DOON,95 AVE-94-95 ST,B1,11,385,385,ROAD ISLAND,95 AVE - 94 - 95 ST,6,53.531919030,-113.472671300,0.1660,0.025,0.141,2,0.3,0:00:45,0:28:12,SE,,,,,,,,,,,,
47,BONNIE DOON,9,BONNIE DOON,90 AVE-88 ST,B1,11,386,386,ROAD ISLAND,90 AVE - 88 ST,9,53.525454630,-113.461945400,0.2000,0.030,0.170,2,0.3,0:00:54,0:34:00,SE,,,,,,,,,,,,
48,KAMEYOSEK,7,KAMEYOSEK,EAST SIDE MILLWOODS RD & 34-28 AVE,B1,11,402,402,ROADWAY,EAST SIDE MILL WOODS RD & 34 - 28 AVE,7,53.463699270,-113.450191400,0.1520,,0.152,2,0.3,0:00:00,0:30:24,SE,Weekend - Roadway,,,,,,,,,,,
49,MICHAELS PARK,2,MICHAELS PARK,MILLBOURNE ROAD E-41A AVE,B1,11,403,403,ROAD ISLAND,MILLBOURNE ROAD E - 41A AVE,2,53.479112820,-113.443885400,0.0440,,0.044,2,0.3,0:00:00,0:08:48,SE,,,,,,,,,,,,
50,KINISKI GARDENS,19,KINISKI GARDENS,44 ST-KULAWY GATE (39 AVE),B1,11,404,404,ROADWAY BLVDS/ISLAND-ENTRANCE,44 ST - KULAWY GATE (39 AVE),19,53.474317350,-113.407116600,0.0290,,0.029,2,0.3,0:00:00,0:05:48,SE,,,,,,,,,,,,
51,KINISKI GARDENS,21,KINISKI GARDENS,1244 KAASA ROAD EAST,B1,11,405,405,WALKWAY,1244 KAASA ROAD EAST,21,53.470693870,-113.397946400,0.0190,,0.019,2,0.3,0:00:00,0:03:48,SE,,,,,,,,,,,,
52,MEYONOHK,11,MEYONOHK,CONNECTS 89 ST-BACK LANE-BTWN-24-25A A,B1,11,406,406,WALKWAY,CONNECTS 89 ST - BACK LANE - BTWN - 24 - 25A AVE,11,53.453863090,-113.462009900,0.0580,,0.058,2,0.3,0:00:00,0:11:36,SE,,,,,,,,,,,,
53,MEYONOHK,13,MEYONOHK,83 ST-BACK LANE-BTWN-26-27 AVE,B1,11,407,407,WALKWAY,83 ST - BACK LANE - BTWN - 26 - 27 AVE,13,53.456718410,-113.459573700,0.0190,,0.019,2,0.3,0:00:00,0:03:48,SE,,,,,,,,,,,,
54,MEYONOHK,14,MEYONOHK,89 ST - LAKEWOOD RD. WEST & 26-27 AVE,B1,11,408,408,WALKWAY,89 ST - LAKEWOOD RD. WEST & 26 - 27 AVE,14,53.456873430,-113.463232800,0.0680,,0.068,2,0.3,0:00:00,0:13:36,SE,,,,,,,,,,,,
55,LARKSPUR,32,LARKSPUR,30 ST - W/SIDE 42 AVE TO 40 AVE,B1,11,410,410,ROADWAY BLVD,30 ST - W/SIDE 42 AVE TO 40 AVE,32,53.478115450,-113.387581800,0.0100,,0.010,2,0.3,0:00:00,0:02:00,SE,,,,,,,,,,,,
56,RIVER VALLEY GOLD BAR,49,CAPILANO,10988 50 Street NW,A1,18,439,439,Capilano Park,10988 50 Street NW,349,53.557725520,-113.427655800,12.7560,10.843,1.913,2,0.3,5:25:17,6:22:41,SE,"CUT EVERY FRIDAY, 1*192""",,12.75595019,USED SLIM AREA - 85/15 rule - NEED FURTHER DISCUSSION WITH CHUCK,,,,,,,,
57,OTTEWELL,11,OTTEWELL,57 ST-96 AVE,B1,11,440,440,ROAD ISLAND,57 ST - 96 AVE,11,53.535889450,-113.423002300,0.0390,,0.039,2,0.3,0:00:00,0:07:48,SE,,,,,,,,,,,,
58,CRAWFORD PLAINS,7,CRAWFORD PLAINS,42 ST-12-10 AVE,B1,11,468,468,PIPELINE RIGHT OF WAY,42 ST - 12 - 10 AVE,7,53.438968470,-113.407103600,0.7050,0.050,0.655,2,0.3,0:01:30,2:11:00,SE,,,,,,,,,,,,
59,LEE RIDGE,13,LEE RIDGE,LEE RIDGE RD-E 71 ST,B1,11,469,469,WALKWAY,LEE RIDGE RD - E 71 ST,13,53.467678040,-113.441636700,0.4400,,0.440,2,0.3,0:00:00,1:28:00,SE,,,,,,,,,,,,
60,BISSET,11,BISSET,43 ST-25 AVE,B1,11,470,470,WALKWAY,43 ST - 25 AVE,11,53.455813270,-113.408386000,0.0160,0.000,0.016,2,0.3,0:00:00,0:03:12,SE,,,,,,,,,,,,
61,STRATHCONA,,STRATHCONA,104 ST-SASKATCHEWAN DRIVE-83 AVE,B1,11,476,476,ROAD MERIDEAN,104 ST - SASKATCHEWAN DRIVE - 83 AVE,17,53.521329900,-113.497560000,0.1150,0.000,0.115,2,0.3,0:00:00,0:23:00,SE,,,,,,,,,,,,
62,MEYONOHK,4,MEYONOHK,W. OF 78 ST & S. OF LAKEWOOD RD. SOUTH,B1,11,484,484,ROAD ISLAND (P.P.),W. OF 78 ST & S. OF LAKEWOOD RD. SOUTH,4,53.454724830,-113.450567700,0.0080,,0.008,2,0.3,0:00:00,0:01:36,SE,,,,,,,,,,,,
63,MCINTYRE INDUSTRIAL,4,MCINTYRE INDUSTRIAL,51 AVE-BTWN 89-86 ST,B2,8,510,510,ROADWAY,51 AVE - BTWN 89 - 86 ST,4,53.488114330,-113.458065500,0.1720,0.000,0.172,2,0.3,0:00:00,0:34:24,SE,Weekend - Roadway,,,,,,,,,,,
64,CLOVERDALE,11,CLOVERDALE,85 ST-STRATHEARN DRIVE,B1,11,511,511,Strathearn Park,85 ST - STRATHEARN DRIVE,311,53.536698210,-113.461898200,9.4390,8.023,1.416,2,0.3,4:00:41,4:43:12,SE,,,,,,,,,,,,
65,SUMMERSIDE,32,SUMMERSIDE,SUMMERSIDE DRIVE: ELLERSLIE RD - 11 AVE,B1,11,534,534,BLVD & ROAD ISLAND,SUMMERSIDE DRIVE: ELLERSLIE RD - 11 AVE SW,32,53.424287790,-113.463060700,0.0650,,0.065,2,0.3,0:00:00,0:13:00,SE,,,,,,,,,,,,
66,STRATHEARN,4,STRATHEARN,91 ST-STRATHEARN DRIVE,B1,11,535,535,ROAD ISLAND,91 ST - STRATHEARN DRIVE,4,53.534539690,-113.467020400,0.0490,0.000,0.049,2,0.3,0:00:00,0:09:48,SE,,,,,,,,,,,,
67,MEYOKUMIN,3,MEYOKUMIN,20A AVE-55 ST,B1,11,538,538,NU-WEST PARK/PLGD/WALKWAY,20A AVE - 55 ST,3,53.451618900,-113.423936200,0.2890,,0.289,2,0.3,0:00:00,0:57:48,SE,,,,,,,,,,,,
68,MILL CREEK RAVINE NORTH,18,MILL CREEK RAVINE NORTH,82 AVE-95A ST,A1,18,542,542,MILL CREEK POOL,82 AVE - 95A ST,318,53.519794300,-113.474213800,1.0000,0.000,1.000,2,0.3,0:00:00,3:20:00,SE,,,,,,,,,,,,
69,EKOTA,8,EKOTA,73 ST - 21 AVE,B1,11,547,547,WALKWAY,73 ST - 21 AVE,8,53.450935140,-113.444140900,0.0430,,0.043,2,0.3,0:00:00,0:08:36,SE,,,,,,,,,,,,
70,EKOTA,9,EKOTA,70 ST - 21 AVE,B1,11,548,548,WALKWAY,70 ST - 21 AVE,9,53.451221020,-113.440757400,0.0230,,0.023,2,0.3,0:00:00,0:04:36,SE,,,,,,,,,,,,
71,LARKSPUR,41,LARKSPUR,33 ST - 41A AVE,B1,11,553,553,WALKWAY,33 ST - 41A AVE,41,53.478210220,-113.391599500,0.0140,,0.014,2,0.3,0:00:00,0:02:48,SE,,,,,,,,,,,,
72,TIPASKAN,15,TIPASKAN,3148 - 79 ST,B1,11,558,558,WALKWAY,3148 - 79 ST,15,53.462705090,-113.453122000,0.0170,,0.017,2,0.3,0:00:00,0:03:24,SE,,,,,,,,,,,,
73,KINISKI GARDENS,16,KINISKI GARDENS,264 KIRKWOOD AVE,B1,11,560,560,P.U.L.,264 KIRKWOOD AVE,16,53.483705580,-113.399433200,0.0140,,0.014,2,0.3,0:00:00,0:02:48,SE,,,,,,,,,,,,
74,KENILWORTH,16,KENILWORTH,7242 - 83 AVE/8313 - 75 ST,B1,11,561,561,UTILITY LOTS,7242 - 83 AVE/8313 - 75 ST,16,53.519321810,-113.439724800,0.0310,,0.031,2,0.3,0:00:00,0:06:12,SE,,,,,,,,,,,,
75,MCINTYRE INDUSTRIAL,2,MCINTYRE INDUSTRIAL,ROPER ROAD-BTWN 75-86 ST,B2,8,566,566,ROADWAY,ROPER ROAD - BTWN 75 - 86 ST,2,53.489863040,-113.448793000,0.1860,0.000,0.186,2,0.3,0:00:00,0:37:12,SE,Weekend - Roadway,,,,,,,,,,,
76,MORRIS INDUSTRIAL,7,GAINER INDUSTRIAL,50 ST BTWN 76 & 82 AVE,B1,11,568,568,ROADWAY,50 ST BTWN 76 & 82 AVE,7,53.516981070,-113.418201300,0.4640,0.395,0.070,2,0.3,0:11:51,0:14:00,SE,,,,Gerry - Community,,,,,,,,
77,LEE RIDGE,5,LEE RIDGE,EAST SIDE MILLWOODS RD & 36B AVE-34 AVE,B1,11,579,579,ROADWAY,EAST SIDE MILL WOODS RD & 36B AVE - 34 AVE,5,53.467298490,-113.450389200,0.3640,0.000,0.364,2,0.3,0:00:00,1:12:48,SE,Weekend - Roadway,,,,,,,,,,,
78,RIVER VALLEY GOLD BAR,46,GOLD BAR,47 ST & 106B AVE,B1,11,590,590,NEIGHBOURHOOD PARK,47 ST & 106B AVE,346,53.553208930,-113.413562200,1.8000,1.530,0.270,2,0.3,0:45:54,0:54:00,SE,,,,,,,,,,,,
79,PYLYPOW INDUSTRIAL,2,PYLYPOW INDUSTRIAL,50 St: 70 Ave - Whitemud Drive Whitemud Drive,B1,11,596,596,ROADWAY,50 St: 70 AVE - Whitemud Drive/Whitemud Drive,2,53.499141230,-113.418089600,2.6880,0.888,1.800,2,0.3,0:26:38,6:00:00,SE,Weekend - Roadway,,,,,,,,,,,
80,TWEDDLE PLACE,14,TWEDDLE PLACE,W/S 76 ST: 38 AVE - WHITEMUD DRIVE,B1,11,597,597,ROADWAY,W/S 76 ST: 38 AVE - WHITEMUD DRIVE,14,53.480429080,-113.452512300,2.8160,2.394,0.422,2,0.3,1:11:49,1:24:24,SE,Weekend - Roadway,,,,,,,,,,,
81,ELLERSLIE,31,ELLERSLIE,Between 132 & 136 Easton Road SW,B1,11,598,598,WALKWAY,Between 132 & 136 Easton Road SW,31,53.427523920,-113.468774200,0.4500,,0.450,2,0.3,0:00:00,1:30:00,SE,,,,,,,,,,,,
82,ELLERSLIE,26,ELLERSLIE,Ellerslie Road & Edwards Drive,B1,11,609,609,ROAD ISLAND & Entrance Features,Ellerslie Road & Edwards Drive,26,53.425208330,-113.455312700,0.0220,,0.022,2,0.3,0:00:00,0:04:24,SE,,,,,,,,,,,,
83,LEE RIDGE,6,LEE RIDGE,71 ST-LEE RIDGE RD,B1,11,614,614,ROAD ISLAND,71 ST - LEE RIDGE RD,6,53.466484140,-113.442560900,0.0710,,0.071,2,0.3,0:00:00,0:14:12,SE,,,,,,,,,,,,
84,LEE RIDGE,7,LEE RIDGE,BTWN-38 AVE-SCHOOL-ADJ CLINIC,B1,11,615,615,WALKWAY,BTWN - 38 AVE - SCHOOL - ADJ CLINIC,7,53.473147120,-113.447766000,0.1090,,0.109,2,0.3,0:00:00,0:21:48,SE,,,,,,,,,,,,
85,EKOTA,11,EKOTA,KNOTTWOOD RD. EAST -68 ST & N. OF 19 AVE,B1,11,623,623,WALKWAY,KNOTTWOOD RD. EAST - 68 ST & N. OF 19 AVE,11,53.450825850,-113.439363700,0.2380,,0.238,2,0.3,0:00:00,0:47:36,SE,,,,,,,,,,,,
86,EKOTA,12,EKOTA,SOUTH 19 AVE-BTWN-68 ST-KW RD EAST,B1,11,624,624,WALKWAY,SOUTH 19 AVE - BTWN - 68 ST - KW RD EAST,12,53.448713710,-113.439254800,0.0200,,0.020,2,0.3,0:00:00,0:04:00,SE,,,,,,,,,,,,
87,EKOTA,15,EKOTA,CONNECTING KW RD N-18 AVE-BTWN-73-75 S,B1,11,626,626,WALKWAY,CONNECTING KW RD N - 18 AVE - BTWN - 73 - 75 ST,15,53.448973300,-113.446011000,0.0400,,0.040,2,0.3,0:00:00,0:08:00,SE,,,,,,,,,,,,
88,PAPASCHASE INDUSTRIAL,5,PAPASCHASE INDUSTRIAL,North side BTWN tracks & 91 ST,B2,8,629,629,WHITEMUD DRIVE,North side BTWN tracks & 91 ST,105,53.482496700,-113.473630400,3.083,2.621,0.462,2,0.3,1:18:38,1:32:24,SE,Weekend - Roadway,,,Changed area to 85/15 rule,,,,,,,,
89,LARKSPUR,12,LARKSPUR,44B AVE-28-29 ST,B1,11,640,640,WALKWAY,44B AVE - 28 - 29 ST,12,53.483355370,-113.384958800,0.0320,,0.032,2,0.3,0:00:00,0:06:24,SE,,,,,,,,,,,,
90,LARKSPUR,26,LARKSPUR,39-41 AVE & 23 ST-TRANSALTA R.O.W.,B1,11,642,642,DRY POND,39 - 41 AVE & 23 ST - TRANSALTA R.O.W.,26,53.478652420,-113.379174800,0.9510,0.143,0.808,2,0.3,0:04:17,2:41:36,SE,,,,,,,,,,,,
91,KING EDWARD PARK,5,KING EDWARD PARK,77 AVE-73 ST,B1,11,643,643,MAUDE BELLE PARK,77 AVE - 73 ST,5,53.513726860,-113.441001200,1.3170,0.197,1.120,2,0.3,0:05:55,3:44:00,SE,,,,,,,,,,,,
92,WILD ROSE,28,WILD ROSE,BESIDE 364 WILD ROSE WAY,B1,11,662,662,WALKWAY,BESIDE 364 WILD ROSE WAY,28,53.475720090,-113.370965900,0.0120,,0.012,2,0.3,0:00:00,0:02:24,SE,,,,,,,,,,,,
93,WALKER,,WALKER,ROAD RIGHT OF WAY: S/S ELLERSLIE RD,B1,11,666,666,ROAD RIGHT OF WAY: S/S ELLERSLIE RD,START CUT 150 M WEST OF 50 ST & CUT FOR 300M,,53.424798362,-113.419698009,0.3031,0.000,0.303,2,0.3,0:00:00,1:00:38,SE,Weekend - Roadway,,0.303141522,,,,,,,,,
94,MICHAELS PARK,4,MICHAELS PARK,74 ST-44 AVE,B1,11,693,693,ROAD ISLAND,74 ST - 44 AVE,4,53.483565970,-113.451607600,0.0690,,0.069,2,0.3,0:00:00,0:13:48,SE,,,,,,,,,,,,
95,IDYLWYLDE,2,IDYLWYLDE,81 ST-86 AVE,B1,11,694,694,IDYLWYLDE PLGD/C.L.,81 ST - 86 AVE,2,53.522888500,-113.451704100,0.4290,,0.429,2,0.3,0:00:00,1:25:48,SE,,,,,,,,,,,,
96,MEYONOHK,6,MEYONOHK,24 AVE-W 85 ST,B1,11,696,696,ROAD ISLAND,24 AVE - W 85 ST,6,53.452579510,-113.461037600,0.0060,,0.006,2,0.3,0:00:00,0:01:12,SE,,,,,,,,,,,,
