Id,Level,address,cluster,day,start-time,end-time,job-id,latitude,longitude,name,priority,quantity,raw-id,required-skills,service-duration-3,type,service-duration
382_2_0_B1,B1,93 ST-92 AVE,,,5d 06:00:00,5d 14:45:00,,53.52806581,-113.4707322,BONNIE DOON,1,1,382_0,neighbourhood,0.0577314815,D,0.0432986111
383.0_0_B1,B1,HILLVIEW CRESENT (52 ST & 34 B AVE),,,0d 06:00:00,9d 14:45:00,,53.46695088,-113.4212724,HILLVIEW,10,1,383.0_0,neighbourhood,0.015,D,0.01125
385.0_0_B1,B1,95 AVE-94-95 ST,,,0d 06:00:00,9d 14:45:00,,53.53191903,-113.4726713,BONNIE DOON,10,1,385.0_0,neighbourhood,0.0195833333,D,0.0146875
386.0_0_B1,B1,90 AVE-88 ST,,,0d 06:00:00,9d 14:45:00,,53.52545463,-113.4619454,BONNIE DOON,10,1,386.0_0,neighbourhood,0.0236111111,D,0.0177083333
402.0_0_B1,B1,EAST SIDE MILLWOODS RD & 34-28 AVE,,,0d 06:00:00,9d 14:45:00,,53.46369927,-113.4501914,KAMEYOSEK,10,1,402.0_0,roadway,0.0211111111,D,0.0158333333
406.0_0_B1,B1,CONNECTS 89 ST-BACK LANE-BTWN-24-25A A,,,0d 06:00:00,9d 14:45:00,,53.45386309,-113.4620099,MEYONOHK,10,1,406.0_0,neighbourhood,0.0080555556,D,0.0060416667
408.0_0_B1,B1,89 ST - LAKEWOOD RD. WEST & 26-27 AVE,,,0d 06:00:00,9d 14:45:00,,53.45687343,-113.4632328,MEYONOHK,10,1,408.0_0,neighbourhood,0.0094444444,D,0.0070833333
468.0_0_B1,B1,42 ST-12-10 AVE,,8,7d 06:00:00,7d 14:45:00,,53.43896847,-113.4071036,CRAWFORD PLAINS,1,1,468.0_0,neighbourhood,0.0909722222,D,0.0682291667
469.0_0_B1,B1,LEE RIDGE RD-E 71 ST,,,0d 06:00:00,9d 14:45:00,,53.46767804,-113.4416367,LEE RIDGE,10,1,469.0_0,neighbourhood,0.0611111111,D,0.0458333333
476.0_0_B1,B1,104 ST-SASKATCHEWAN DRIVE-83 AVE,,,0d 06:00:00,9d 14:45:00,,53.5213299,-113.49756,STRATHCONA,10,1,476.0_0,neighbourhood,0.0159722222,D,0.0119791667
511_0_0_B1,B1,85 ST-STRATHEARN DRIVE,,0,0d 06:00:00,0d 14:45:00,,53.53669821,-113.4618982,CLOVERDALE,10,1,511_0,neighbourhood,0.0655555556,D,0.0491666667
511_1_0_B1,B1,85 ST-STRATHEARN DRIVE,,0,0d 06:00:00,0d 14:45:00,,53.53669821,-113.4618982,CLOVERDALE,10,1,511_0,neighbourhood,0.0655555556,D,0.0491666667
511_2_0_B1,B1,85 ST-STRATHEARN DRIVE,,0,0d 06:00:00,0d 14:45:00,,53.53669821,-113.4618982,CLOVERDALE,10,1,511_0,neighbourhood,0.0655555556,D,0.0491666667
534.0_0_B1,B1,SUMMERSIDE DRIVE: ELLERSLIE RD - 11 AVE,,,0d 06:00:00,9d 14:45:00,,53.42428779,-113.4630607,SUMMERSIDE,10,1,534.0_0,neighbourhood,0.0090277778,D,0.0067708334
538.0_0_B1,B1,20A AVE-55 ST,,,0d 06:00:00,9d 14:45:00,,53.4516189,-113.4239362,MEYOKUMIN,10,1,538.0_0,neighbourhood,0.0401388889,D,0.0301041667
568.0_0_B1,B1,50 ST BTWN 76 & 82 AVE,,6,6d 06:00:00,6d 14:45:00,,53.51698107,-113.4182013,GAINER INDUSTRIAL,1,1,568.0_0,neighbourhood,0.0097222222,D,0.0072916667
579.0_0_B1,B1,EAST SIDE MILLWOODS RD & 36B AVE-34 AVE,,,0d 06:00:00,9d 14:45:00,,53.46729849,-113.4503892,LEE RIDGE,10,1,579.0_0,roadway,0.0505555556,D,0.0379166667
590.0_0_B1,B1,47 ST & 106B AVE,,7,7d 06:00:00,7d 14:45:00,,53.55320893,-113.4135622,GOLD BAR,1,1,590.0_0,neighbourhood,0.0375,D,0.028125
596_0_0_B1,B1,50 St: 70 Ave - Whitemud Drive Whitemud Drive,,,1d 06:00:00,1d 14:45:00,,53.49914123,-113.4180896,PYLYPOW INDUSTRIAL,1,1,596_0,roadway,0.0833333333,D,0.0625
596_1_0_B1,B1,50 St: 70 Ave - Whitemud Drive Whitemud Drive,,,1d 06:00:00,1d 14:45:00,,53.49914123,-113.4180896,PYLYPOW INDUSTRIAL,1,1,596_0,roadway,0.0833333333,D,0.0625
596_2_0_B1,B1,50 St: 70 Ave - Whitemud Drive Whitemud Drive,,,1d 06:00:00,1d 14:45:00,,53.49914123,-113.4180896,PYLYPOW INDUSTRIAL,1,1,596_0,roadway,0.0833333333,D,0.0625
597.0_0_B1,B1,W/S 76 ST: 38 AVE - WHITEMUD DRIVE,,,0d 06:00:00,9d 14:45:00,,53.48042908,-113.4525123,TWEDDLE PLACE,10,1,597.0_0,roadway,0.0586111111,D,0.0439583333
598.0_0_B1,B1,Between 132 & 136 Easton Road SW,,,0d 06:00:00,9d 14:45:00,,53.42752392,-113.4687742,ELLERSLIE,10,1,598.0_0,neighbourhood,0.0625,D,0.046875
614.0_0_B1,B1,71 ST-LEE RIDGE RD,,,0d 06:00:00,9d 14:45:00,,53.46648414,-113.4425609,LEE RIDGE,10,1,614.0_0,neighbourhood,0.0098611111,D,0.0073958333
615.0_0_B1,B1,BTWN-38 AVE-SCHOOL-ADJ CLINIC,,,0d 06:00:00,9d 14:45:00,,53.47314712,-113.447766,LEE RIDGE,10,1,615.0_0,neighbourhood,0.0151388889,D,0.0113541667
623.0_0_B1,B1,KNOTTWOOD RD. EAST -68 ST & N. OF 19 AVE,,,0d 06:00:00,9d 14:45:00,,53.45082585,-113.4393637,EKOTA,10,1,623.0_0,neighbourhood,0.0330555556,D,0.0247916667
642.0_0_B1,B1,39-41 AVE & 23 ST-TRANSALTA R.O.W.,,0,0d 06:00:00,0d 14:45:00,,53.47865242,-113.3791748,LARKSPUR,10,1,642.0_0,neighbourhood,0.1122222222,D,0.0841666667
643.0_0_B1,B1,77 AVE-73 ST,,3,5d 06:00:00,5d 14:45:00,,53.51372686,-113.4410012,KING EDWARD PARK,1,1,643.0_0,neighbourhood,0.1555555556,D,0.1166666667
666.0_0_B1,B1,ROAD RIGHT OF WAY: S/S ELLERSLIE RD,,,0d 06:00:00,9d 14:45:00,,53.424798362,-113.419698009,WALKER,10,1,666.0_0,roadway,0.0421064815,D,0.0315798611
693.0_0_B1,B1,74 ST-44 AVE,,,0d 06:00:00,9d 14:45:00,,53.48356597,-113.4516076,MICHAELS PARK,10,1,693.0_0,neighbourhood,0.0095833333,D,0.0071875
694.0_0_B1,B1,81 ST-86 AVE,,,0d 06:00:00,9d 14:45:00,,53.5228885,-113.4517041,IDYLWYLDE,10,1,694.0_0,neighbourhood,0.0595833333,D,0.0446875
724.0_0_B1,B1,86 ST-BTWN WHITEMUD DRIVE-51 AVE,,,0d 06:00:00,9d 14:45:00,,53.48643348,-113.4537909,MCINTYRE INDUSTRIAL,10,1,724.0_0,roadway,0.0123611111,D,0.0092708333
777.0_0_B1,B1,Road Allowance,,2,2d 06:00:00,2d 14:45:00,,53.44096431,-113.3942473,CRAWFORD PLAINS,1,1,777.0_0,roadway,0.0486111111,D,0.0364583333
786.0_0_B1,B1,35B Ave: 31 St - 29 St,,,0d 06:00:00,9d 14:45:00,,53.4680613,-113.3865062,WILD ROSE,10,1,786.0_0,neighbourhood,0.0070833333,D,0.0053125
787.0_0_B1,B1,1202 Summerside Drive,,4,4d 06:00:00,4d 14:45:00,,53.42230666,-113.4668491,SUMMERSIDE,1,1,787.0_0,neighbourhood,0.0472222222,D,0.0354166667
789.0_0_B1,B1,NORTH SIDE 28 AVE & LAKEWOOD RD WEST -,,9,9d 06:00:00,9d 14:45:00,,53.45895751,-113.4568045,TIPASKAN,10,1,789.0_0,roadway,0.0777777778,D,0.0583333334
820.0_0_B1,B1,78 ST-BTWN-21-22 AVE,,,0d 06:00:00,9d 14:45:00,,53.45229309,-113.4495041,SATOO,10,1,820.0_0,neighbourhood,0.0077777778,D,0.0058333334
841.0_0_B1,B1,76 ST-88 AVE,,,0d 06:00:00,9d 14:45:00,,53.52354243,-113.4443855,IDYLWYLDE,10,1,841.0_0,neighbourhood,0.0208333333,D,0.015625
881.0_0_B1,B1,86 ST-67 AVE,,,0d 06:00:00,9d 14:45:00,,53.5024862,-113.45885,ARGYLL,10,1,881.0_0,neighbourhood,0.0219444444,D,0.0164583333
883.0_0_B1,B1,9812 96A Street NW,,4,4d 06:00:00,4d 14:45:00,,53.53870576,-113.4795739,CLOVERDALE,1,1,883.0_0,neighbourhood,0.1666666667,D,0.125
926.0_0_B1,B1,89 AVE-100 ST,,,0d 06:00:00,9d 14:45:00,,53.52461864,-113.4895913,STRATHCONA,10,1,926.0_0,neighbourhood,0.0297222222,D,0.0222916667
947.0_0_B1,B1,ARGYLL RD N/S BTWN 86 ST & 83 ST,,7,7d 06:00:00,7d 14:45:00,,53.50190593,-113.4560504,ARGYLL,1,1,947.0_0,neighbourhood,0.0151388889,D,0.0113541667
953.0_0_B1,B1,68 ST - 11 AVE,,,0d 06:00:00,9d 14:45:00,,53.4400904,-113.4415886,MENISA,10,1,953.0_0,neighbourhood,0.0072222222,D,0.0054166667
975.0_0_B1,B1,SOUTH SIDE/WS MILBOURNE RD E & E OF 74,,,0d 06:00:00,9d 14:45:00,,53.48161951,-113.4476131,MICHAELS PARK,10,1,975.0_0,neighbourhood,0.1022222222,D,0.0766666667
976.0_0_B1,B1,SOUTH SIDE 23 AVE BTWN 38-34 ST,,2,2d 06:00:00,2d 14:45:00,,53.45366325,-113.3962258,BISSET,1,1,976.0_0,roadway,0.0441666667,D,0.033125
979_0_0_B1,B1,WEST SIDE MILLWOODS RD-BTWN-28-23 AVE,,,2d 06:00:00,2d 14:45:00,,53.45526058,-113.448311,MEYONOHK,1,1,979_0,roadway,0.0587962963,D,0.0440972222
979_1_0_B1,B1,WEST SIDE MILLWOODS RD-BTWN-28-23 AVE,,,2d 06:00:00,2d 14:45:00,,53.45526058,-113.448311,MEYONOHK,1,1,979_0,roadway,0.0587962963,D,0.0440972222
979_2_0_B1,B1,WEST SIDE MILLWOODS RD-BTWN-28-23 AVE,,,2d 06:00:00,2d 14:45:00,,53.45526058,-113.448311,MEYONOHK,1,1,979_0,roadway,0.0587962963,D,0.0440972222
996.0_0_B1,B1,GREENOCH CRESCENT-W 50 ST-GOLF COURS,,7,7d 06:00:00,7d 14:45:00,,53.47794898,-113.4207306,GREENVIEW,1,1,996.0_0,neighbourhood,0.0341666667,D,0.025625
1001.0_0_B1,B1,NORTH SIDE 44 AVE-BTWN 49 ST-JACKSON R,,,0d 06:00:00,9d 14:45:00,,53.48206292,-113.4132991,JACKSON HEIGHTS,10,1,1001.0_0,neighbourhood,0.0140277778,D,0.0105208334
1017.0_0_B1,B1,97 AVE-66 ST,,,0d 06:00:00,9d 14:45:00,,53.53593095,-113.4310656,OTTEWELL,10,1,1017.0_0,neighbourhood,0.0301388889,D,0.0226041667
1035.0_0_B1,B1,BTWN LAKEWOOD RD S-23 AVE-W 83 ST,,,0d 06:00:00,9d 14:45:00,,53.45299725,-113.4581005,MEYONOHK,10,1,1035.0_0,neighbourhood,0.0319444444,D,0.0239583333
1048.0_0_B1,B1,CENTER MEIDAIN - WATT BLVD TO WATT COMMON,,,0d 06:00:00,9d 14:45:00,,53.42474558,-113.4309533,CHARLESWORTH,10,1,1048.0_0,roadway,0.0415277778,D,0.0311458334
1050.0_0_B1,B1,SOUTH BUFFER - WATT BLVD TO WATT COMMON,,,0d 06:00:00,9d 14:45:00,,53.42493252,-113.4311662,CHARLESWORTH,10,1,1050.0_0,roadway,0.0830555556,D,0.0622916667
1075.0_0_B1,B1,SOUTH SIDE 98 AVE: 57 ST-TERRACE ROAD,,,0d 06:00:00,9d 14:45:00,,53.53849365,-113.4265287,OTTEWELL,10,1,1075.0_0,neighbourhood,0.0472222222,D,0.0354166667
1091.0_0_B1,B1,JAMHA RD - JAMES CRESCENT,,,0d 06:00:00,9d 14:45:00,,53.48405855,-113.4134176,JACKSON HEIGHTS,10,1,1091.0_0,neighbourhood,0.0119444444,D,0.0089583333
1103.0_0_B1,B1,35 AVE-48 ST,,,0d 06:00:00,9d 14:45:00,,53.46609391,-113.4143055,MINCHAU,10,1,1103.0_0,neighbourhood,0.1005555556,D,0.0754166667
1113.0_0_B1,B1,WS/C 91 ST BTWN 23 & 28 AVE,,,0d 06:00:00,9d 14:45:00,,53.45538745,-113.467122,PARSONS INDUSTRIAL,10,1,1113.0_0,roadway,0.1598611111,D,0.1198958333
1118.0_0_B1,B1,Between 8225 & 8229 - 8 Ave SW,,,0d 06:00:00,9d 14:45:00,,53.42524929,-113.4606603,ELLERSLIE,10,1,1118.0_0,neighbourhood,0.0180555556,D,0.0135416667
1135.0_0_B1,B1,36A AVE EAST OF 30 ST,,,0d 06:00:00,9d 14:45:00,,53.46996222,-113.3848451,WILD ROSE,10,1,1135.0_0,neighbourhood,0.1161111111,D,0.0870833333
1139.0_0_B1,B1,79 ST-73 AVE,,,0d 06:00:00,9d 14:45:00,,53.50890304,-113.4480183,AVONMORE,10,1,1139.0_0,neighbourhood,0.0105555556,D,0.0079166667
1140.0_0_B1,B1,CENTRE ISLANDS 75ST - 73-76 AVE,,,0d 06:00:00,9d 14:45:00,,53.510901,-113.4428788,GIRARD INDUSTRIAL,10,1,1140.0_0,neighbourhood,0.0075,D,0.005625
1167.0_0_B1,B1,ALONG MILLBOURNE RD W-BTWN-76-85 ST,,,0d 06:00:00,9d 14:45:00,,53.48079517,-113.4552256,TWEDDLE PLACE,10,1,1167.0_0,neighbourhood,0.0934722222,D,0.0701041667
1170.0_0_B1,B1,57 ST - 14 AVE,,,0d 06:00:00,9d 14:45:00,,53.4430186,-113.4269189,SAKAW,10,1,1170.0_0,neighbourhood,0.0073611111,D,0.0055208333
1174.0_0_B1,B1,64 AVE-86-87 ST,,,0d 06:00:00,9d 14:45:00,,53.50075934,-113.4611437,ARGYLL,10,1,1174.0_0,neighbourhood,0.0229166667,D,0.0171875
1175.0_0_B1,B1,87 ST-68 AVE,,,0d 06:00:00,9d 14:45:00,,53.50386697,-113.4623646,ARGYLL,10,1,1175.0_0,neighbourhood,0.0211111111,D,0.0158333333
1176.0_0_B1,B1,87 ST-75 AVE,,,0d 06:00:00,9d 14:45:00,,53.51111583,-113.4607853,AVONMORE,10,1,1176.0_0,neighbourhood,0.0240277778,D,0.0180208334
1177.0_0_B1,B1,49 ST-S 27 AVE/24 AVE-49A ST,,,0d 06:00:00,9d 14:45:00,,53.45756451,-113.4189917,WEINLOS,10,1,1177.0_0,neighbourhood,0.0602777778,D,0.0452083334
1184.0_0_B1,B1,81 ST - 33 AVE,,,0d 06:00:00,9d 14:45:00,,53.46414889,-113.4552433,TIPASKAN,10,1,1184.0_0,neighbourhood,0.01,D,0.0075
1187.0_0_B1,B1,66 AVE-86 ST,,,0d 06:00:00,9d 14:45:00,,53.5022504,-113.4615795,ARGYLL,10,1,1187.0_0,neighbourhood,0.0701388889,D,0.0526041667
1201.0_0_B1,B1,68 - 72 ST & 10 AVE - KNOTTWOOD RD. EAST,,,0d 06:00:00,9d 14:45:00,,53.44102796,-113.4436001,MENISA,10,1,1201.0_0,neighbourhood,0.0876388889,D,0.0657291667
1202.0_0_B1,B1,BTWN-11-10 AVE-72 ST,,,0d 06:00:00,9d 14:45:00,,53.43910077,-113.4446028,MENISA,10,1,1202.0_0,neighbourhood,0.0086111111,D,0.0064583333
1228.0_0_B1,B1,90 AVE-100 ST,,,0d 06:00:00,9d 14:45:00,,53.52571401,-113.4889881,STRATHCONA,10,1,1228.0_0,neighbourhood,0.0409722222,D,0.0307291667
1253.0_0_B1,B1,8729 - 58 Avenue,,,0d 06:00:00,9d 14:45:00,,53.49184378,-113.4600009,DAVIES INDUSTRIAL WEST,10,1,1253.0_0,neighbourhood,0.0261111111,D,0.0195833333
1308.0_0_B1,B1,LEE RIDGE RD-N 36A AVE,,,0d 06:00:00,9d 14:45:00,,53.47247757,-113.4411285,LEE RIDGE,10,1,1308.0_0,neighbourhood,0.0443055556,D,0.0332291667
1312.0_0_B1,B1,BTWN-19A-23 AVE-E 61 ST,,,0d 06:00:00,9d 14:45:00,,53.45190384,-113.4304811,MEYOKUMIN,10,1,1312.0_0,neighbourhood,0.0463888889,D,0.0347916667
1313.0_0_B1,B1,37-38 AVE & 32-34 ST,,7,7d 06:00:00,7d 14:45:00,,53.47213596,-113.3919408,LARKSPUR,1,1,1313.0_0,neighbourhood,0.0505555556,D,0.0379166667
1316.0_0_B1,B1,54 ST-94 AVE,,,0d 06:00:00,9d 14:45:00,,53.53171493,-113.4217322,OTTEWELL,10,1,1316.0_0,neighbourhood,0.0370833333,D,0.0278125
1361.0_0_B1,B1,31-33 ST-43-44 AVE,,,0d 06:00:00,9d 14:45:00,,53.48157221,-113.3908289,LARKSPUR,10,1,1361.0_0,neighbourhood,0.1505555556,D,0.1129166667
1435.0_0_B1,B1,BTWN-KNOTTWOOD RD S-10 AVE-W OF 82 ST,,,0d 06:00:00,9d 14:45:00,,53.44120747,-113.4595298,SATOO,10,1,1435.0_0,neighbourhood,0.0283333333,D,0.02125
1446.0_0_B1,B1,58 AVE-87 ST,,,0d 06:00:00,9d 14:45:00,,53.49314887,-113.4595989,DAVIES INDUSTRIAL WEST,10,1,1446.0_0,neighbourhood,0.0179166667,D,0.0134375
1447.0_0_B1,B1,NORTH SIDE MILLWOODS RD-BTWN-91 ST-38,,,0d 06:00:00,9d 14:45:00,,53.47401729,-113.4594378,TWEDDLE PLACE,10,1,1447.0_0,roadway,0.0205555556,D,0.0154166667
1450.0_0_B1,B1,BTWN-85-91 ST,,7,7d 06:00:00,7d 14:45:00,,53.46912852,-113.4624634,RICHFIELD,1,1,1450.0_0,neighbourhood,0.0533333333,D,0.04
1451.0_0_B1,B1,MILLBOURNE RD E-LEE RIDGE RD-N 36A AVE,,,0d 06:00:00,9d 14:45:00,,53.47182007,-113.4430238,LEE RIDGE,10,1,1451.0_0,neighbourhood,0.0702777778,D,0.0527083334
1452.0_0_B1,B1,87 -89 ST & 33 AVE - LAKEWOOD RD. NORTH,,,0d 06:00:00,9d 14:45:00,,53.4631616,-113.4618949,TIPASKAN,10,1,1452.0_0,neighbourhood,0.0169444444,D,0.0127083333
1453.0_0_B1,B1,89 ST BTWN 29 & 30 AVE,,,0d 06:00:00,9d 14:45:00,,53.46072409,-113.462334,TIPASKAN,10,1,1453.0_0,neighbourhood,0.0083333333,D,0.00625
1456.0_0_B1,B1,NORTH SIDE 90 AVE-75 ST,,,0d 06:00:00,9d 14:45:00,,53.52541651,-113.440711,OTTEWELL,10,1,1456.0_0,neighbourhood,0.0229166667,D,0.0171875
1457.0_0_B1,B1,89 ST SW & 8 AVE SW,,,0d 06:00:00,9d 14:45:00,,53.4255926,-113.4703023,ELLERSLIE,10,1,1457.0_0,neighbourhood,0.0138888889,D,0.0104166667
1497.0_0_B1,B1,76 St - Millbourne Road West,,,0d 06:00:00,9d 14:45:00,,53.47941443,-113.4545691,TWEDDLE PLACE,10,1,1497.0_0,neighbourhood,0.0591666667,D,0.044375
1508.0_0_B1,B1,85 AVE-104 ST,,7,7d 06:00:00,7d 14:45:00,,53.52136465,-113.4969562,STRATHCONA,1,1,1508.0_0,neighbourhood,0.0277777778,D,0.0208333334
1568.0_0_B1,B1,56-58 ST & 10-11A AVE,,,0d 06:00:00,9d 14:45:00,,53.43892909,-113.426705,SAKAW,10,1,1568.0_0,neighbourhood,0.0570833333,D,0.0428125
1583.0_0_B1,B1,72 AVE-85 ST,,,0d 06:00:00,9d 14:45:00,,53.50808986,-113.4573469,AVONMORE,10,1,1583.0_0,neighbourhood,0.0434722222,D,0.0326041667
1589.0_0_B1,B1,NORTH OF KITTLITZ PARK: 29 - 30 ST,,,0d 06:00:00,9d 14:45:00,,53.51881167,-113.4962756,WILD ROSE,10,1,1589.0_0,neighbourhood,0.0116666667,D,0.00875
1600.0_0_B1,B1,SILVER BERRY RD: 34 ST - 32 AVE,,,0d 06:00:00,9d 14:45:00,,53.44018994,-113.4292992,SILVER BERRY,10,1,1600.0_0,neighbourhood,0.0194444444,D,0.0145833333
1612_0_0_B1,B1,MILLBOURNE ROAD E-70 ST,,,5d 06:00:00,5d 14:45:00,,53.4792581,-113.4489091,MICHAELS PARK,1,1,1612_0,neighbourhood,0.0575,D,0.043125
1612_1_0_B1,B1,MILLBOURNE ROAD E-70 ST,,,5d 06:00:00,5d 14:45:00,,53.4792581,-113.4489091,MICHAELS PARK,1,1,1612_0,neighbourhood,0.0575,D,0.043125
1612_2_0_B1,B1,MILLBOURNE ROAD E-70 ST,,,5d 06:00:00,5d 14:45:00,,53.4792581,-113.4489091,MICHAELS PARK,1,1,1612_0,neighbourhood,0.0575,D,0.043125
1623.0_0_B1,B1,NORTH SIDE 23 AVE-BTWN MILLWOODS RD E- 38 ST,,2,2d 06:00:00,2d 14:45:00,,53.45485526,-113.4033495,BISSET,1,1,1623.0_0,roadway,0.0454166667,D,0.0340625
1624.0_0_B1,B1,56 ST - 11 AVE,,,0d 06:00:00,9d 14:45:00,,53.43937612,-113.4244306,SAKAW,10,1,1624.0_0,neighbourhood,0.0073611111,D,0.0055208333
1654.0_0_B1,B1,63 AVE SOUTH SIDE BTWN 91-86 ST.,,,0d 06:00:00,9d 14:45:00,,53.49982618,-113.4623766,CORONET ADDITION INDUSTRIAL,10,1,1654.0_0,neighbourhood,0.0344444444,D,0.0258333333
1658.0_0_B1,B1,108 AVE-67 ST,,0,0d 06:00:00,0d 14:45:00,,53.55564341,-113.4297217,CAPILANO,10,1,1658.0_0,neighbourhood,0.0527777778,D,0.0395833334
1714.0_0_B1,B1,80-81 ST & LAKEWOOD RD. NORTH - 34 AVE,,,0d 06:00:00,9d 14:45:00,,53.4638973,-113.4544161,TIPASKAN,10,1,1714.0_0,neighbourhood,0.0411111111,D,0.0308333333
1752.0_0_B1,B1,BTWN-34-36 AVE-BTWN-79-81 ST,,,0d 06:00:00,9d 14:45:00,,53.46680909,-113.4546789,RICHFIELD,10,1,1752.0_0,neighbourhood,0.1186111111,D,0.0889583333
1759.0_0_B1,B1,NORTH 44 AVE-E 83 ST,,,0d 06:00:00,9d 14:45:00,,53.48332882,-113.4577198,TWEDDLE PLACE,10,1,1759.0_0,neighbourhood,0.0861111111,D,0.0645833333
1771.0_0_B1,B1,NORTH SIDE 34 AVE-91 ST-MILLWOODS RD W,,,0d 06:00:00,9d 14:45:00,,53.46537684,-113.4587719,RICHFIELD,10,1,1771.0_0,roadway,0.1326388889,D,0.0994791667
1778.0_0_B1,B1,11 AVE-58 ST,,0,0d 06:00:00,0d 14:45:00,,53.44264997,-113.4290041,SAKAW,10,1,1778.0_0,neighbourhood,0.1086111111,D,0.0814583333
